Date,ExpAge,MeadowLocation,Treatment,Site_no,Site_name,EdgeDistance,StemDensity_QrtMeter
7/21/2021,13,Northern,Treatment,5,5T,2.5,48
7/21/2021,13,Northern,Control,6,6C,0.5,112
7/21/2021,13,Northern,Control,6,6C,1.5,116
7/21/2021,13,Northern,Control,6,6C,2.5,88
7/21/2021,13,Northern,Treatment,6,6T,0.5,48
7/21/2021,13,Northern,Treatment,6,6T,1.5,38
7/21/2021,13,Northern,Treatment,6,6T,2.5,36
8/19/2021,14,Central,Control,1,1C,0.5,85
8/19/2021,14,Central,Control,1,1C,1.5,74
8/19/2021,14,Central,Control,1,1C,2.5,59
8/19/2021,14,Central,Treatment,1,1T,0.5,33
8/19/2021,14,Central,Treatment,1,1T,1.5,23
8/19/2021,14,Central,Treatment,1,1T,2.5,31
8/19/2021,14,Central,Control,2,2C,0.5,73
8/19/2021,14,Central,Control,2,2C,1.5,77
8/19/2021,14,Central,Control,2,2C,2.5,61
8/19/2021,14,Central,Treatment,2,2T,0.5,36
8/19/2021,14,Central,Treatment,2,2T,1.5,40
8/19/2021,14,Central,Treatment,2,2T,2.5,36
8/19/2021,14,Central,Control,3,3C,0.5,72
8/19/2021,14,Central,Control,3,3C,1.5,75
8/19/2021,14,Central,Control,3,3C,2.5,66
8/19/2021,14,Central,Treatment,3,3T,0.5,46
8/19/2021,14,Central,Treatment,3,3T,1.5,44
8/19/2021,14,Central,Treatment,3,3T,2.5,39
8/19/2021,14,Northern,Control,4,4C,0.5,104
8/19/2021,14,Northern,Control,4,4C,1.5,106
8/19/2021,14,Northern,Control,4,4C,2.5,96
8/19/2021,14,Northern,Treatment,4,4T,0.5,39
8/19/2021,14,Northern,Treatment,4,4T,1.5,50
8/19/2021,14,Northern,Treatment,4,4T,2.5,47
8/19/2021,14,Northern,Control,5,5C,0.5,96
8/19/2021,14,Northern,Control,5,5C,1.5,87
8/19/2021,14,Northern,Control,5,5C,2.5,100
8/19/2021,14,Northern,Treatment,5,5T,0.5,32
8/19/2021,14,Northern,Treatment,5,5T,1.5,35
8/19/2021,14,Northern,Treatment,5,5T,2.5,42
8/19/2021,14,Northern,Control,6,6C,0.5,85
8/19/2021,14,Northern,Control,6,6C,1.5,93
8/19/2021,14,Northern,Control,6,6C,2.5,74
8/19/2021,14,Northern,Treatment,6,6T,0.5,31
8/19/2021,14,Northern,Treatment,6,6T,1.5,36
8/19/2021,14,Northern,Treatment,6,6T,2.5,29
9/20/2021,15,Central,Control,1,1C,0.5,32
9/20/2021,15,Central,Control,1,1C,1.5,27
9/20/2021,15,Central,Control,1,1C,2.5,29
9/20/2021,15,Central,Treatment,1,1T,0.5,11
9/20/2021,15,Central,Treatment,1,1T,1.5,14
9/20/2021,15,Central,Treatment,1,1T,2.5,11
9/20/2021,15,Central,Control,2,2C,0.5,35
9/20/2021,15,Central,Control,2,2C,1.5,39
9/20/2021,15,Central,Control,2,2C,2.5,38
9/20/2021,15,Central,Treatment,2,2T,0.5,14
9/20/2021,15,Central,Treatment,2,2T,1.5,18
9/20/2021,15,Central,Treatment,2,2T,2.5,12
9/20/2021,15,Central,Control,3,3C,0.5,43
9/20/2021,15,Central,Control,3,3C,1.5,35
9/20/2021,15,Central,Control,3,3C,2.5,32
9/20/2021,15,Central,Treatment,3,3T,0.5,9
9/20/2021,15,Central,Treatment,3,3T,1.5,11
9/20/2021,15,Central,Treatment,3,3T,2.5,14
9/20/2021,15,Northern,Control,4,4C,0.5,56
9/20/2021,15,Northern,Control,4,4C,1.5,53
9/20/2021,15,Northern,Control,4,4C,2.5,52
9/20/2021,15,Northern,Treatment,4,4T,0.5,16
9/20/2021,15,Northern,Treatment,4,4T,1.5,24
9/20/2021,15,Northern,Treatment,4,4T,2.5,22
9/20/2021,15,Northern,Control,5,5C,0.5,51
9/20/2021,15,Northern,Control,5,5C,1.5,48
9/20/2021,15,Northern,Control,5,5C,2.5,54
9/20/2021,15,Northern,Treatment,5,5T,0.5,23
9/20/2021,15,Northern,Treatment,5,5T,1.5,24
9/20/2021,15,Northern,Treatment,5,5T,2.5,22
9/20/2021,15,Northern,Control,6,6C,0.5,47
9/20/2021,15,Northern,Control,6,6C,1.5,45
9/20/2021,15,Northern,Control,6,6C,2.5,50
9/20/2021,15,Northern,Treatment,6,6T,0.5,18
9/20/2021,15,Northern,Treatment,6,6T,1.5,23
9/20/2021,15,Northern,Treatment,6,6T,2.5,20
10/20/2021,16,Central,Control,1,1C,0.5,17
10/20/2021,16,Central,Control,1,1C,1.5,11
10/20/2021,16,Central,Control,1,1C,2.5,11
10/20/2021,16,Central,Treatment,1,1T,0.5,10
10/20/2021,16,Central,Treatment,1,1T,1.5,14
10/20/2021,16,Central,Treatment,1,1T,2.5,6
10/20/2021,16,Central,Control,2,2C,0.5,19
10/20/2021,16,Central,Control,2,2C,1.5,14
10/20/2021,16,Central,Control,2,2C,2.5,17
10/20/2021,16,Central,Treatment,2,2T,0.5,4
10/20/2021,16,Central,Treatment,2,2T,1.5,8
10/20/2021,16,Central,Treatment,2,2T,2.5,6
10/20/2021,16,Central,Control,3,3C,0.5,17
10/20/2021,16,Central,Control,3,3C,1.5,16
10/20/2021,16,Central,Control,3,3C,2.5,6
10/20/2021,16,Central,Treatment,3,3T,0.5,6
10/20/2021,16,Central,Treatment,3,3T,1.5,11
10/20/2021,16,Central,Treatment,3,3T,2.5,5
10/20/2021,16,Northern,Control,4,4C,0.5,41
10/20/2021,16,Northern,Control,4,4C,1.5,45
10/20/2021,16,Northern,Control,4,4C,2.5,46
10/20/2021,16,Northern,Treatment,4,4T,0.5,8
10/20/2021,16,Northern,Treatment,4,4T,1.5,13
10/20/2021,16,Northern,Treatment,4,4T,2.5,14
10/20/2021,16,Northern,Control,5,5C,0.5,38
10/20/2021,16,Northern,Control,5,5C,1.5,37
10/20/2021,16,Northern,Control,5,5C,2.5,39
10/20/2021,16,Northern,Treatment,5,5T,0.5,15
10/20/2021,16,Northern,Treatment,5,5T,1.5,18
10/20/2021,16,Northern,Treatment,5,5T,2.5,13
10/20/2021,16,Northern,Control,6,6C,0.5,37
10/20/2021,16,Northern,Control,6,6C,1.5,34
10/20/2021,16,Northern,Control,6,6C,2.5,35
10/20/2021,16,Northern,Treatment,6,6T,0.5,10
10/20/2021,16,Northern,Treatment,6,6T,1.5,9
10/20/2021,16,Northern,Treatment,6,6T,2.5,6
